id,type,name,status,description,epic,startTime,duration,endTime
1,TASK,Задача1,NEW,Действие,,null,2232,null
2,TASK,Задача2,IN_PROGRESS,Действие,,24-03-2025|23:20,344,25-03-2025|05:04
8,TASK,Задача3,IN_PROGRESS,Действие,,22-04-2025|03:20,1511,23-04-2025|04:31
11,TASK,задача4,NEW,описание,,01-03-2025|23:55,332,02-03-2025|05:27
3,EPIC,Эпик1,IN_PROGRESS,Действие,,01-03-2025|23:55,366666,26-10-2025|11:49
4,EPIC,Эпик2,NEW,Действие,,05-03-2026|01:45,3434,07-03-2026|10:59
9,EPIC,Эпик3,NEW,Действие,,01-03-2025|23:55,5535,05-03-2025|20:10
5,SUBTASK,Подзадача1,IN_PROGRESS,Эпик1,3,01-03-2025|23:55,23232,18-03-2025|03:07
6,SUBTASK,Подзадача2,NEW,Эпик1,3,01-03-2025|23:55,343434,26-10-2025|11:49
7,SUBTASK,Подзадача3,NEW,Эпик2,4,05-03-2026|01:45,3434,07-03-2026|10:59
10,SUBTASK,Подзадача4,NEW,Эпик4,9,01-03-2025|23:55,5535,05-03-2025|20:10
